Key,Value
R,42296.506910546974
G,30932.78042933244
B,17843.49821729843
Intensity,2137.755374558546
eigenvalues_sum,811227626803.2908
omnivariance,0.0
eigentropy,0.0
anisotropy,811227626803.5077
linearity,405613813400.92065
pca1,-405613813401.4381
pca2,-405613813401.925
surface_variation,0.0
sphericity,0.0
verticality,-2.1988368884006865e-08
eigen1,405613813402.0986
eigen2,0.8910791600528042
eigen3,0.0
density,-0.24429109406179667
